urn:miriam:kegg.compound:C00354; D-Fructose 1
http://purl.obolibrary.org/obo/GO_0005829; cytosol
urn:miriam:kegg.reaction:R00771; D-glucose-6-phosphate aldose-ketose-isomerase
http://identifiers.org/obo.go/GO:0005737; cytoplasm
http://purl.obolibrary.org/obo/CL_0000746; cardiac muscle cell
urn:miriam:kegg.reaction:R01518; -phosphomutase
http://identifiers.org/obo.go/GO:0005892; acetylcholine-gated channel complex
http://identifiers.org/uniprot/Q07889; Son of sevenless homolog 1
urn:miriam:kegg.reaction:R01512; ATP:3-phospho-D-glycerate 1-phosphotransferase
http://identifiers.org/chebi/CHEBI:16761; ADP
urn:miriam:obo.chebi:CHEBI%3A16905; -bisphosphate
http://purl.obolibrary.org/obo/CHEBI_17234; glucose
http://identifiers.org/go/GO:0005829; cytosol
urn:miriam:obo.go:GO%3A0000162; tryptophan biosynthetic process
urn:miriam:obo.chebi:CHEBI%3A18021; phosphoenolpyruvate
http://bhi.washington.edu/OPB#OPB_00318; Charge flow rate
urn:miriam:kegg.compound:C00345; 6-Phospho-D-gluconate
http://identifiers.org/obo.go/GO:0004889; acetylcholine-activated cation-selective channel activity
http://identifiers.org/uniprot/P20936; Ras GTPase-activating protein 1
urn:miriam:obo.chebi:CHEBI%3A16863; 6-phospho-D-gluconate
http://identifiers.org/chebi/CHEBI:17306; maltose
urn:miriam:obo.go:GO%3A0042866; pyruvate biosynthetic process
urn:miriam:kegg.reaction:R01015; D-glyceraldehyde-3-phosphate aldose-ketose-isomerase
urn:miriam:kegg.compound:C00631; 2-Phospho-D-glycerate
urn:miriam:obo.chebi:CHEBI%3A16077; D-glucopyranose 1-phosphate
urn:miriam:kegg.reaction:R00959; alpha-D-Glucose 1-phosphate 1
urn:miriam:obo.go:GO%3A0009070; serine family amino acid biosynthetic process
urn:miriam:obo.chebi:CHEBI%3A17665; alpha-D-glucose 6-phosphate
http://identifiers.org/obo.go/GO:0005623; cell
urn:miriam:obo.go:GO%3A0044275; cellular carbohydrate catabolic process
urn:miriam:kegg.reaction:R00209; pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)
urn:miriam:kegg.compound:C05345; beta-D-Fructose 6-phosphate
http://identifiers.org/opb/OPB_00340; Chemical concentration
urn:miriam:kegg.reaction:R01070; -bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)
http://identifiers.org/uniprot/O76243; Body wall hemoglobin
urn:miriam:obo.go:GO%3A0006002; fructose 6-phosphate metabolic process
urn:miriam:obo.chebi:CHEBI%3A15361; pyruvate
urn:miriam:kegg.reaction:R00200; ATP:pyruvate 2-O-phosphotransferase
urn:miriam:kegg.reaction:R00756; ATP:D-fructose-6-phosphate 1-phosphotransferase
urn:miriam:kegg.compound:C00236; 3-Phospho-D-glyceroyl phosphate
